,index,name,extra,process,varietal,sub region,harvest time,elevation
465,411,Guatemala San Antonio,"['Sub', 'Region', 'Huehuetenango', 'Harvest', 'Time', '2018', 'Elevation', '2000']",,,"['Sub', 'Region', 'Huehuetenango']","['Harvest', 'Time', '2018']","['Elevation', '2000']"
466,343,Venice,"['Varietal', 'Arabica']",,"['Varietal', 'Arabica']",,,
467,236,Decaf Angel City,"['Varietal', 'Arabica']",,"['Varietal', 'Arabica']",,,
468,332,Angel City,"['Varietal', 'Arabica']",,"['Varietal', 'Arabica']",,,
469,262,La Bicicletta Organic Blend,"['Varietal', 'Caturra', 'Timtim', 'Heirloom']",,"['Varietal', 'Caturra', 'Timtim', 'Heirloom']",,,
423,195,Color Wheel,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,
424,202,Color Wheel,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,
425,310,Quantum Espresso,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,
426,246,John Brown Signature Blend,"['Process', 'Washed', 'Natural/Dry', 'Processed']","['Process', 'Washed', 'Natural/Dry', 'Processed']",,,,
376,74,House Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,
377,256,Sugar Tooth,"['Process', 'Washed']","['Process', 'Washed']",,,,
378,83,Hundred Mile,"['Process', 'Washed']","['Process', 'Washed']",,,,
379,93,Homestead,"['Process', 'Washed']","['Process', 'Washed']",,,,
380,11,Hair Bender,"['Process', 'Washed']","['Process', 'Washed']",,,,
381,219,Wallabout,"['Process', 'Washed']","['Process', 'Washed']",,,,
382,336,Prospect,"['Process', 'Washed']","['Process', 'Washed']",,,,
383,60,Crown Point,"['Process', 'Washed']","['Process', 'Washed']",,,,
384,238,Hunky Dory Decaf,"['Process', 'Washed']","['Process', 'Washed']",,,,
385,303,Flor Del Sol Signature Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,
386,18,Black Cat Classic Espresso,"['Process', 'Washed']","['Process', 'Washed']",,,,
387,130,Trapper Creek Decaf,"['Process', 'Washed']","['Process', 'Washed']",,,,
388,309,Paradigm Breakfast Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,
389,56,Holler Mountain,"['Process', 'Washed']","['Process', 'Washed']",,,,
390,122,El Diablo Dark Roast,"['Process', 'Washed']","['Process', 'Washed']",,,,
391,331,Fulton Street,"['Process', 'Washed']","['Process', 'Washed']",,,,
392,329,House Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,
393,168,Ethiopia Guji,"['Process', 'Washed']","['Process', 'Washed']",,,,
394,55,Founder's Blend,"['Process', 'Washed']","['Process', 'Washed']",,,,
